"FF_FORMULA.FormulaName","FF_FORMULA.EffectiveStartDate","FF_FORMULA.EffectiveEndDate","FF_FORMULA.LegislativeDataGroupName","FF_FORMULA.FormulaTypeName","FF_FORMULA.LegislationCode","ViewInstanceName","GroupingKey","Description","FormulaName","Language","SourceLang","LegislativeDataGroupName","BaseFormulaName","FormulaId","LegislativeDataGroupId"
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","AR","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","CS","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","D","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","DK","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","E","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","F","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","FRC","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","HU","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","I","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","IW","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","JA","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","KO","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","N","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","NL","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","PL","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","PTB","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","RO","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","RU","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","S","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","SF","US","CA Legislative Data Group","","",""
"DB Pension Plan Percent EE Retroactive","1951/01/01","4712/12/31","CA Legislative Data Group","Oracle Payroll","","FormulaTranslation","DB Pension Plan Percent EE Retroactive,CA Legislative Data Group","Formula for Canada Retroactive Pretax Deduction","DB Pension Plan Percent EE Retroactive","TH","US","CA Legislative Data Group","","",""
