"FUN_BUSINESS_UNIT.Name","ModuleId","ConfigurationStatus","CreatedBy","CreationDate","LastUpdatedBy","LastUpdateDate","LastUpdateLogin"
"AU Council Business Unit","10","Y","FIN_IMPL","2021/02/02 16:50:38.692","FIN_IMPL","2021/02/02 16:50:40.659","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","20","Y","FIN_IMPL","2021/02/02 16:50:38.816","FIN_IMPL","2021/02/02 16:50:40.713","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","30","Y","FIN_IMPL","2021/02/02 16:50:38.774","FIN_IMPL","2021/02/02 16:50:40.683","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","40","Y","FIN_IMPL","2021/02/02 16:50:38.776","FIN_IMPL","2021/02/02 16:50:40.685","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","50","Y","FIN_IMPL","2021/02/02 16:50:38.779","FIN_IMPL","2021/02/02 16:50:40.688","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","70","Y","FIN_IMPL","2021/02/02 16:50:38.781","FIN_IMPL","2021/02/02 16:50:40.69","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","80","Y","FIN_IMPL","2021/02/02 16:50:38.784","FIN_IMPL","2021/02/02 16:50:40.692","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","90","Y","FIN_IMPL","2021/02/02 16:50:38.787","FIN_IMPL","2021/02/02 16:50:40.694","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","100","Y","FIN_IMPL","2021/02/02 16:50:38.791","FIN_IMPL","2021/02/02 16:50:40.696","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","110","Y","FIN_IMPL","2021/02/02 16:50:38.793","FIN_IMPL","2021/02/02 16:50:40.698","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","120","Y","FIN_IMPL","2021/02/02 16:50:38.796","FIN_IMPL","2021/02/02 16:50:40.7","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","130","Y","FIN_IMPL","2021/02/02 16:50:38.799","FIN_IMPL","2021/02/02 16:50:40.702","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","140","Y","FIN_IMPL","2021/02/02 16:50:38.801","FIN_IMPL","2021/02/02 16:50:40.705","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","160","Y","FIN_IMPL","2021/02/02 16:50:38.804","FIN_IMPL","2021/02/02 16:50:40.707","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","180","Y","FIN_IMPL","2021/02/02 16:50:38.806","FIN_IMPL","2021/02/02 16:50:40.709","BA5CCB5A83A437C4E0539E90DF0AD83E"
"AU Council Business Unit","190","Y","FIN_IMPL","2021/02/02 16:50:38.809","FIN_IMPL","2021/02/02 16:50:40.711","BA5CCB5A83A437C4E0539E90DF0AD83E"
"Australia Business Unit","10","Y","FIN_IMPL","2016/07/18 09:20:08.102","FIN_IMPL","2016/07/18 09:21:46.645","37B7C83AD8AD186FE0537AA3FD0ACB26"
"Australia Business Unit","20","Y","FIN_IMPL","2016/07/18 09:20:08.103","FIN_IMPL","2016/07/18 09:21:46.647","37B7C83AD8AD186FE0537AA3FD0ACB26"
