"SetCode","OrganizationCode","ReferenceGroupName","Name","CreatedBy","CreationDate","DeterminantType","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","SysEffectiveDate","ClassificationCode","EffectiveStartDate","EffectiveEndDate"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","CML_SETUPS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.914","BU","2024/01/29 17:08:55.787","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MKL_LEAD_BUDGET_STATUS_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.917","BU","2024/01/29 17:08:55.788","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MKL_LEAD_CHANNEL_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.92","BU","2024/01/29 17:08:55.791","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","ORA_MKL_LEAD_OPTOUT_RSN_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.922","BU","2024/01/29 17:08:55.797","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MKL_LEAD_RANK_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.924","BU","2024/01/29 17:08:55.798","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MKL_LEAD_REASSIGN_REASON_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.927","BU","2024/01/29 17:08:55.8","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MKL_REJECT_REASON_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.93","BU","2024/01/29 17:08:55.802","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MKL_RETIRE_REASON_CD_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.933","BU","2024/01/29 17:08:55.804","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MKL_LEAD_TIMELINE_SETID","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.936","BU","2024/01/29 17:08:55.806","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_SETID_RISK_LEVEL","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.939","BU","2024/01/29 17:08:55.808","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
