"SetCode","OrganizationCode","ReferenceGroupName","Name","CreatedBy","CreationDate","DeterminantType","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","SysEffectiveDate","ClassificationCode","EffectiveStartDate","EffectiveEndDate"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","OKC_APPLY_HOLD_REASONS","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.177","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","MOO_SETID_WIN_LOSS_REASON","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.224","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","OKC_CLOSE_REASONS","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.18","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","IEX_COLLECTIONS_SETUPS","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.181","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","OKC_CONTRACT_TYPES","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.183","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","MOO_CRED_ALLOC_TEMPLATES","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.184","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","HZ_CUSTOMER_ACCOUNT_RELATION","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.184","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","HZ_CUSTOMER_ACCOUNT_SITE","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.186","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","HRR_DASHBOARD_TEMPLATES","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.186","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","MKL_DEAL_TYPE_SETID","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.187","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","MOO_SETID_DECISION_LEVEL","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.188","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHDEPT","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","PER_DEPARTMENTS","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:57:14.978","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"PHBUSET","30D14B62A78A1D7FE053790B548C646E 300000126304804 2016-04-19 06.55.32.018","IEX_DUNNING_PLANS","Philippines Business Unit","BETTY.ANDERSON","2016/04/19 06:55:56.465","BU","2016/04/19 06:55:57.189","30D1F51427923AEFE053790B548C1557","BETTY.ANDERSON","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
